Category,Subtype,Name,Latitude,Longitude
Religious,place_of_worship,Unnamed,24.671066,46.853551
Religious,place_of_worship,مسجد الفدا,24.781702,46.626692
Religious,place_of_worship,جامع السلامة,24.606427,46.711951
Religious,place_of_worship,مسجد,24.682829,46.852456
Religious,place_of_worship,مسجد,24.700115,46.8012
Religious,place_of_worship,مجمع الأيمان الخيري,24.525204,46.64188
Religious,place_of_worship,مسجد,24.674865,46.692647
Religious,place_of_worship,Unnamed,24.566051,46.549005
Religious,place_of_worship,Unnamed,24.568334,46.546721
Religious,place_of_worship,Unnamed,24.574822,46.543995
Religious,place_of_worship,Unnamed,24.579158,46.537665
Religious,place_of_worship,Unnamed,24.576851,46.5384
Religious,place_of_worship,Unnamed,24.583178,46.536152
Religious,place_of_worship,Unnamed,24.579421,46.53012
Religious,place_of_worship,Unnamed,24.578485,46.527621
Religious,place_of_worship,Unnamed,24.577371,46.524719
Religious,place_of_worship,Unnamed,24.578193,46.521744
Religious,place_of_worship,Unnamed,24.583625,46.526032
Religious,place_of_worship,Unnamed,24.586613,46.529983
Religious,place_of_worship,Unnamed,24.577443,46.54111
Religious,place_of_worship,Unnamed,24.570871,46.541837
Religious,place_of_worship,Unnamed,24.56662,46.541479
Religious,place_of_worship,Unnamed,24.555872,46.551548
Religious,place_of_worship,Unnamed,24.55994,46.546478
Religious,place_of_worship,مسجد عبدالله بن مسعود,24.581591,46.661047
Religious,place_of_worship,مسجد,24.70775,46.811875
Religious,place_of_worship,مسجد,24.612944,46.695094
Religious,place_of_worship,مسجد الأمير سلطان,24.614809,46.698127
Religious,place_of_worship,Unnamed,24.528176,46.633627
Religious,place_of_worship,Unnamed,24.503309,46.500354
Religious,place_of_worship,Unnamed,24.510472,46.508074
Religious,place_of_worship,Unnamed,24.57791,46.51779
Religious,place_of_worship,Unnamed,24.580424,46.520203
Religious,place_of_worship,Unnamed,24.5805,46.525222
Religious,place_of_worship,Unnamed,24.57661,46.534661
Religious,place_of_worship,Unnamed,24.569541,46.530916
Religious,place_of_worship,Unnamed,24.558695,46.515744
Religious,place_of_worship,Unnamed,24.80683,46.53727
Religious,place_of_worship,مسجد اليحيى,24.690977,46.805054
Religious,place_of_worship,Unnamed,24.776137,46.640475
Religious,place_of_worship,Moschea,24.962311,46.701208
Religious,place_of_worship,Moschea,24.961917,46.701455
Religious,place_of_worship,Unnamed,24.652668,46.557953
Religious,place_of_worship,مسجد الشيخ حمد المشعل,24.763585,46.722924
Religious,place_of_worship,Unnamed,24.59408,46.772264
Religious,place_of_worship,Unnamed,24.557628,46.692077
Religious,place_of_worship,Unnamed,24.555799,46.689765
Religious,place_of_worship,Unnamed,24.597934,46.586645
Religious,place_of_worship,Unnamed,24.600368,46.578158
Religious,place_of_worship,Unnamed,24.588534,46.56185
Religious,place_of_worship,Unnamed,24.589637,46.555316
Religious,place_of_worship,Unnamed,24.590817,46.54978
Religious,place_of_worship,Unnamed,24.588115,46.549351
Religious,place_of_worship,Unnamed,24.589578,46.552109
Religious,place_of_worship,Unnamed,24.590973,46.559812
Religious,place_of_worship,Unnamed,24.589549,46.56523
Religious,place_of_worship,Unnamed,24.58631,46.564844
Religious,place_of_worship,Unnamed,24.583451,46.568985
Religious,place_of_worship,Unnamed,24.580895,46.568438
Religious,place_of_worship,Unnamed,24.581149,46.571056
Religious,place_of_worship,Unnamed,24.57549,46.582117
Religious,place_of_worship,Unnamed,24.576778,46.578223
Religious,place_of_worship,Unnamed,24.57669,46.567858
Religious,place_of_worship,Unnamed,24.575509,46.570219
Religious,place_of_worship,Unnamed,24.5763,46.573201
Religious,place_of_worship,Unnamed,24.579314,46.573888
Religious,place_of_worship,Unnamed,24.582251,46.561132
Religious,place_of_worship,Unnamed,24.605601,46.545859
Religious,place_of_worship,Unnamed,24.562864,46.563433
Religious,place_of_worship,Unnamed,24.560883,46.560702
Religious,place_of_worship,Unnamed,24.556404,46.546208
Religious,place_of_worship,Unnamed,24.563469,46.597921
Religious,place_of_worship,Unnamed,24.550597,46.629957
Religious,place_of_worship,Unnamed,24.557812,46.577312
Religious,place_of_worship,Unnamed,24.563297,46.556066
Religious,place_of_worship,Unnamed,24.589034,46.531903
Religious,place_of_worship,Unnamed,24.585436,46.535423
Religious,place_of_worship,Unnamed,24.583629,46.529654
Religious,place_of_worship,Unnamed,24.589271,46.53565
Religious,place_of_worship,Unnamed,24.587254,46.569111
Religious,place_of_worship,Unnamed,24.581762,46.548855
Religious,place_of_worship,Unnamed,24.577857,46.557983
Religious,place_of_worship,Unnamed,24.580806,46.554235
