site_id,latitude,longitude
RUHSM225,24.7454847342479,46.8241676688194
RUHSM226,24.7641928838335,46.8337565660477
RUHSM227,24.764122238671,46.8336492776871
RUHSM228,24.7395185293973,46.5959626436234
RUHSM232,24.4701528666928,46.612468957901
RUHSM233,24.5476209553064,46.6873374581337
RUHSM234,24.5477331800292,46.6874313354492
RUHSM235,24.6672178504822,46.7845594882965
RUHSM238,24.4949618404793,46.9437834620476
RUHSM239,24.4951033915724,46.9439175724983
RUHSM240,24.6486919902838,46.7140683531761
RUHSM241,24.6487358708835,46.7141970992088
RUHSM242,24.5620708697593,46.5307635068893
RUHSM243,24.5622074829673,46.5307849645615
RUHSM244,24.5925682421353,46.5811836719513
RUHSM245,24.592451165573,46.5809771418572
RUHSM246,24.5606828008027,46.5485760569573
RUHSM247,24.5608462580163,46.5485733747482
RUHSM248,24.5591532055241,46.5682715177536
RUHSM249,24.5593190901152,46.5683010220528
RUHSM250,24.7962287009035,46.7782375216484
RUHSM251,24.7963431075156,46.778157055378
RUHSM252,24.6506762784333,46.7848706245422
RUHSM253,24.6505348901065,46.7849349975586
RUHSM254,24.6017820953835,46.6995683312416
RUHSM255,24.6019428426154,46.6995227336884
RUHSM257,24.5417677210066,46.6960680484772
RUHSM258,24.5416505969815,46.6959768533707
RUHSM260,24.6184495728811,46.5350738167763
RUHSM261,24.8220580564739,46.8324986100197
RUHSM262,24.7625659273025,46.8108746409416
RUHSM263,24.7625074578522,46.810756623745
RUHSM265,24.6282468000288,46.5544849634171
RUHSM266,24.621812214839,46.5321287512779
RUHSM267,24.8855940582138,46.7199504375458
RUHSM268,24.5686427243791,46.5279042720795
RUHSM269,24.56878873,46.52792484
RUHSM270,24.6423900305582,46.7355823516846
RUHSM271,24.7657883617786,46.7543041706085
RUHSM274,24.8155925940606,46.6353213787079
RUHSM275,24.8347697001099,46.7905327677727
RUHSM276,24.8346966545502,46.7903396487236
RUHSM278,24.6766160926836,46.8499436974526
RUHSM279,24.6765527121673,46.8497881293297
RUHSM280,24.8184475122469,46.8023881316185
RUHSM281,24.8183549901527,46.8022164702416
RUHSM286,24.6720829180904,46.5581783652306
RUHSM287,24.6433213464037,46.5461325645447
RUHSM290,24.6155723237174,46.7154604196549
RUHSM291,24.6155430622212,46.7153263092041
RUHSM292,24.6999315543658,46.7230913043022
RUHSM296,24.7779751316449,46.7809116840363
RUHSM304,24.7020076530006,46.6487458348274
RUHSM305,24.8371752096259,46.6561380028725
RUHSM306,24.7059527461551,46.6575327515602
RUHSM308,24.6226168155053,46.5494531393051
RUHSM312,25.0212345764591,46.6135954856873
RUHSM313,25.0214120108395,46.6135391592979
RUHSM315,24.5423701171962,46.7042890191078
RUHSM316,24.5422652060434,46.7044472694397
