lat,lon,external_id,title,price,rooms,baths,area,purpose,rent_frequency,location
24.77891289169,46.652679268618,87812021,"Apartment For Rent in Al Ghadir, North Riyadh",75000.0,4,3,176.0,for-rent,yearly,KSA > Riyadh > North Riyadh > Al Ghadir
24.772271614113,46.826872382833,87808726,"Apartment for Rent in Al Nahdah, East Riyadh",50000.0,3,3,360.0,for-rent,yearly,KSA > Riyadh > East Riyadh > Al Nahdah
24.888352460728,46.65410820458,87809831,Property for rent,60000.0,2,3,113.0,for-rent,yearly,KSA > Riyadh > North Riyadh > Al Narjis
24.877160851009,46.626177799674,87834658,"Apartment for rent in Al Arid, North Riyadh",65000.0,4,3,337.0,for-rent,yearly,KSA > Riyadh > North Riyadh > Al Arid
24.900479270823,46.639002469012,87837503,Modern Apartment in North Riyadh | Expat Compound Living at Flow Narjis,286000.0,2,2,11766.0,for-rent,yearly,KSA > Riyadh > North Riyadh > Al Narjis
24.900479270823,46.639002469012,87837479,Apartment for Rent in North Riyadh | Expat Compound Living at Flow Narjis,205000.0,3,3,11766.0,for-rent,yearly,KSA > Riyadh > North Riyadh > Al Narjis
24.788930713411,46.737250952399,87816738,"Flow Granada – A Walkable, Luxury Compound in Riyadh’s Best Location",187000.0,3,3,3960.0,for-rent,yearly,KSA > Riyadh > East Riyadh > Al Shuhada
24.788930713411,46.737250952399,87816732,Flow Granada – Your Ideal Luxury Compound in Riyadh,180000.0,2,3,3960.0,for-rent,yearly,KSA > Riyadh > East Riyadh > Al Shuhada
24.722131965654,46.794298450957,87815978,"Luxury apartment for rent in Al-Manar, East Riyadh",70000.0,2,3,132.0,for-rent,yearly,KSA > Riyadh > East Riyadh > Al Manar
24.766942266069,46.626460538205,87783731,3 Bedrooms in Al Aqiq - SATEL 115,140000.0,3,3,131.0,for-rent,yearly,KSA > Riyadh > North Riyadh > Al Aqiq
24.717178283569,46.673666887577,87819775,Two Bedrooms in Al Olaya - SATEL 107,120000.0,2,2,137.0,for-rent,yearly,KSA > Riyadh > North Riyadh > Al Wurud
24.665594029755,46.744132957746,87826684,SATEL at La Brise – Furnished Two Bedrooms Apartment,73000.0,2,1,4277.0,for-rent,yearly,KSA > Riyadh > Central Riyadh > Al Malaz
24.665251646829,46.743981332065,87826687,SATEL at La Brise – One Bedroom Apartment,60000.0,1,2,4277.0,for-rent,yearly,KSA > Riyadh > Central Riyadh > Al Malaz
24.683304985649,46.675592786036,87828029,New Studio with Hotel Level Finishing at La Cordia Suite,50000.0,0,1,2321.0,for-rent,yearly,KSA > Riyadh > North Riyadh > Al Mathar Al Shamali
