lat,lon,parcel_type
24.742052,46.652828,villa
24.742279,46.652713,villa
24.742525,46.652589,villa
24.741806,46.652952,villa
24.742361,46.653021,villa
24.742525,46.652943,villa
24.742688,46.65286,villa
24.742125,46.653145,villa
24.74193,46.653244,villa
24.742339,46.653166,other
24.742227,46.653094,villa
24.737009,46.657219,villa
24.737923,46.65149,villa
24.738035,46.651152,villa
24.738232,46.651053,villa
24.73843,46.650956,villa
24.738627,46.650857,villa
24.738374,46.651264,villa
24.738922,46.650994,villa
24.738724,46.65109,villa
24.738527,46.651189,villa
24.738132,46.651385,villa
24.739031,46.650656,villa
24.739126,46.650892,villa
24.737825,46.651254,villa
24.738276,46.651313,villa
24.738776,46.650784,villa
24.738875,46.650733,villa
24.738776,46.651487,villa
24.740754,46.654282,villa
24.739682,46.655312,villa
24.739073,46.655459,villa
24.739519,46.65492,villa
24.736975,46.656103,villa
24.737163,46.656009,villa
24.737392,46.655891,villa
24.73754,46.655819,villa
24.737789,46.655822,villa
24.737253,46.656224,villa
24.737631,46.656033,villa
24.737443,46.656127,villa
24.737065,46.65632,villa
24.740378,46.648475,other
24.739533,46.648864,other
24.739326,46.648966,other
24.739955,46.64869,other
24.740162,46.648585,other
24.739735,46.648759,other
24.739465,46.64929,villa
24.739655,46.649154,villa
24.73986,46.649052,villa
24.740162,46.648939,villa
24.740283,46.648877,villa
24.740408,46.648816,villa
24.740542,46.648746,villa
24.740037,46.649001,villa
24.739402,46.649145,villa
24.738201,46.65686,other
24.73689,46.655561,villa
24.737268,46.655213,villa
24.737107,46.655451,villa
24.737538,46.655237,villa
24.736939,46.654271,villa
24.737265,46.654016,villa
24.737299,46.654097,villa
24.737324,46.655502,villa
24.737431,46.655446,villa
24.741258,46.653233,villa
24.740983,46.653727,villa
24.74118,46.653627,villa
24.740578,46.653931,villa
24.740783,46.653829,villa
24.741382,46.653526,villa
24.741587,46.653424,villa
24.74091,46.65341,villa
24.741058,46.653335,villa
24.740607,46.653563,villa
24.740454,46.653641,villa
24.741462,46.653131,villa
24.74071,46.653509,villa
24.740812,46.653458,villa
24.740186,46.652563,villa
24.740342,46.652935,villa
24.740432,46.652439,villa
24.740296,46.652828,villa
24.741582,46.651699,villa
24.737297,46.65594,villa
24.739857,46.650511,villa
24.73729,46.651736,villa
24.737392,46.65197,villa
24.73716,46.651436,villa
24.737053,46.651189,villa
24.736956,46.650961,villa
24.737635,46.651782,villa
24.737533,46.651549,villa
24.737426,46.651299,villa
24.737319,46.651053,villa
24.737221,46.650825,villa
24.738057,46.652788,villa
24.738142,46.652018,villa
24.739896,46.653375,villa
24.739813,46.653177,villa
24.739012,46.653241,villa
24.738929,46.653045,villa
24.740086,46.653281,villa
24.739358,46.653644,villa
24.739704,46.653472,villa
24.739531,46.653558,villa
24.739187,46.653732,villa
24.740003,46.653083,villa
24.739104,46.653534,villa
24.739275,46.653448,villa
24.739621,46.653273,villa
24.739448,46.653359,villa
24.739487,46.653003,villa
24.739382,46.653056,villa
24.739226,46.653134,villa
24.739862,46.652817,villa
24.739594,46.652949,villa
24.739404,46.652807,villa
24.739299,46.65286,villa
24.739143,46.652938,villa
24.739779,46.652619,villa
24.739511,46.652753,villa
24.739701,46.652895,villa
24.739618,46.652699,villa
24.737933,46.657144,villa
24.737791,46.652925,villa
24.73792,46.652372,villa
24.737509,46.65226,villa
24.737777,46.652123,villa
24.737655,46.652509,villa
24.741482,46.654885,other
24.741424,46.654735,other
24.741233,46.650983,villa
24.737494,46.653979,other
24.73754,46.654091,other
24.739463,46.650688,other
24.739511,46.650806,other
24.739365,46.650487,other
24.739394,46.650436,other
24.739421,46.650589,other
24.737689,46.653855,other
24.737553,46.653922,other
24.737438,46.653845,other
24.737526,46.653665,other
24.737769,46.65425,other
24.737862,46.654475,other
24.739453,46.651441,villa
24.741063,46.654129,villa
24.741808,46.652402,villa
24.741146,46.654392,villa
24.737421,46.653276,villa
24.740279,46.657088,other
24.743134,46.65565,other
24.74119,46.656629,other
24.742067,46.655068,villa
24.742181,46.655776,other
24.741484,46.655671,villa
24.739419,46.656741,villa
24.742174,46.655323,villa
24.742805,46.655462,other
24.738286,46.653775,palace
24.740074,46.657192,other
24.742722,46.655856,other
24.737107,46.652536,villa
24.741465,46.656138,other
24.739655,46.657404,other
24.740866,46.655982,villa
24.742766,46.654719,villa
24.742517,46.655958,other
24.741765,46.655221,villa
24.737543,46.657761,villa
24.739952,46.6569,other
24.739979,46.65469,villa
24.736902,46.652053,villa
24.742395,46.655669,other
24.741789,46.656328,other
24.739869,46.657294,other
24.74069,46.656881,other
24.739687,46.656607,villa
24.739745,46.657004,other
24.737448,46.657535,villa
24.740157,46.656795,other
24.737389,46.657227,villa
24.740091,46.654961,villa
24.740198,46.655215,villa
24.741869,46.655931,other
24.736919,46.656393,villa
24.741679,46.655264,villa
24.736956,46.652906,villa
24.739533,46.657112,other
24.743345,46.655543,other
24.741177,46.655446,villa
