Name,Type,Subtype,Latitude,Longitude,Arabic Name,Address,Phone,Website,Hours,Brand
Unnamed,leisure,swimming_pool,24.682847,46.6140648,,,,,,
Unnamed,leisure,swimming_pool,24.6830469,46.6135873,,,,,,
Unnamed,leisure,swimming_pool,24.6824205,46.6134157,,,,,,
Unnamed,leisure,swimming_pool,24.68428,46.6153013,,,,,,
Unnamed,leisure,swimming_pool,24.6847309,46.6152262,,,,,,
Unnamed,leisure,pitch,24.7450763,46.5172903,,,,,,
Unnamed,leisure,swimming_pool,24.7547065,46.5263652,,,,,,
Unnamed,leisure,pitch,24.7432422,46.5333751,,,,,,
Unnamed,leisure,swimming_pool,24.6931858,46.900132,,,,,,
Unnamed,leisure,pitch,24.6930006,46.8948909,,,,,,
Unnamed,leisure,pitch,24.6937658,46.895143,,,,,,
Unnamed,leisure,pitch,24.6935099,46.8952423,,,,,,
Unnamed,leisure,pitch,24.6941849,46.8965727,,,,,,
Unnamed,leisure,pitch,24.69428,46.8968409,,,,,,
Unnamed,leisure,pitch,24.6938511,46.8967309,,,,,,
Unnamed,leisure,pitch,24.6939656,46.8970072,,,,,,
Unnamed,leisure,pitch,24.6950573,46.8963527,,,,,,
Unnamed,leisure,pitch,24.701242,46.8919198,,,,,,
Unnamed,leisure,swimming_pool,24.6849855,46.6292088,,,,,,
Unnamed,leisure,swimming_pool,24.685568,46.6303676,,,,,,
Unnamed,leisure,swimming_pool,24.6856167,46.6308959,,,,,,
Unnamed,leisure,swimming_pool,24.6832698,46.6282406,,,,,,
Unnamed,leisure,swimming_pool,24.6849413,46.6506533,,,,,,
Unnamed,leisure,swimming_pool,24.6576939,46.6256244,,,,,,
Unnamed,leisure,swimming_pool,24.7439897,46.6249703,,,,,,
Unnamed,leisure,pitch,24.7576265,46.7117634,,,,,,
Unnamed,leisure,sports_centre,24.7637263,46.7132667,,,,,,
Unnamed,leisure,park,24.7666222,46.7050685,,,,,,
Unnamed,leisure,pitch,24.7748603,46.6843871,,,,,,
Unnamed,leisure,pitch,24.7518654,46.6606567,,,,,,
Unnamed,leisure,pitch,24.7538908,46.6576222,,,,,,
Unnamed,leisure,pitch,24.759416,46.6604595,,,,,,
Unnamed,leisure,park,24.762764,46.6703826,,,,,,
Unnamed,leisure,pitch,24.7338726,46.689801,,,,,,
Unnamed,leisure,park,24.7589855,46.7732936,,,,,,
Unnamed,leisure,pitch,24.7567121,46.7431147,,,,,,
Unnamed,leisure,pitch,24.7359097,46.7537947,,,,,,
Unnamed,leisure,park,24.7360612,46.7814852,,,,,,
Unnamed,leisure,park,24.7417021,46.7568354,,,,,,
Unnamed,leisure,pitch,24.7098429,46.7959652,,,,,,
Unnamed,leisure,park,24.6907236,46.7917016,,,,,,
Unnamed,leisure,pitch,24.6999322,46.8068441,,,,,,
AlRaja Park,leisure,park,24.6976646,46.7659844,,,,,,
Unnamed,leisure,pitch,24.5467165,46.6707835,,,,,,
Unnamed,leisure,pitch,24.533698,46.6422571,,,,,,
Unnamed,leisure,pitch,24.5353572,46.6289319,,,,,,
Unnamed,leisure,pitch,24.6023038,46.7234825,,,,,,
Unnamed,leisure,pitch,24.6026647,46.7249631,,,,,,
Unnamed,leisure,swimming_pool,24.9272973,46.6775656,,,,,,
Unnamed,leisure,pitch,24.9277583,46.6780891,,,,,,
Unnamed,leisure,pitch,24.9274556,46.6782787,,,,,,
Unnamed,leisure,pitch,24.8490003,46.6326304,,,,,,
Unnamed,leisure,pitch,24.8485941,46.633738,,,,,,
Unnamed,leisure,swimming_pool,24.8174039,46.6348349,,,,,,
Unnamed,leisure,swimming_pool,24.8020882,46.6278096,,,,,,
Unnamed,leisure,swimming_pool,24.7515321,46.617554,,,,,,
Unnamed,leisure,swimming_pool,24.759937,46.6280005,,,,,,
Unnamed,leisure,swimming_pool,24.7536885,46.6164843,,,,,,
Unnamed,leisure,swimming_pool,24.7495961,46.6076916,,,,,,
Unnamed,leisure,swimming_pool,24.7511945,46.6042626,,,,,,
Unnamed,leisure,swimming_pool,24.6681545,46.6919934,,,,,,
Unnamed,leisure,swimming_pool,24.672975,46.6803154,,,,,,
Unnamed,leisure,pitch,24.6685877,46.6806265,,,,,,
