Unnamed: 0.1,Unnamed: 0,location,clientindex,region_code,typeofplace,speedallowed,constantdevice,constantplace,geolatitude,geolongitude,geoformat,city_name_arabic,city_name_english,nic_code,Streat_Name_Arabic,Streat_Name_English,Direction,Province_arabic,Province_english,address09,Bus_Speed,Car_Speed,Truck_Speed,address13,address14,address15,ingestion_date,number_of_lanes
85,60018,RUHSM325,CL01,R1,CCTV,,,,24.57881666666667,46.74155,,الرياض,Riyadh,1,طريق النصر,An Nasr Rd,E,طريق النصر,An Nasr Rd,,,,,,,80325.0,2025-01-27 11:20:48,3.0
86,60022,RUHSM368,CL01,R1,CCTV,,,,24.63518333333333,46.62235,,الرياض,Riyadh,1,طريق الأمير أحمد بن عبدالعزيز,Prince Ahmed Bin Abdulaziz Rd,W,طريق الأمير أحمد بن عبدالعزيز,Prince Ahmed Bin Abdulaziz Rd,,,,,,,80368.0,2025-02-12 11:47:28,3.0
87,60025,RUHSM468,CL01,R1,CCTV,,,,24.626622,46.520031,,الرياض,Riyadh,1,طريق الطايف,Taif Rd,E,طريق الطايف,Taif Rd,,,,,,,,2025-02-12 11:47:27,4.0
88,60027,RUHSM577,CL01,R1,CCTV,,,,24.856315,46.737353,,الرياض,Riyadh,1,طريق السدر,AL SIDR ROAD,S,طريق السدر,AL SIDR ROAD,,,,,,,,2025-01-27 11:20:47,3.0
89,60028,RUHTE333,CL01,R1,CCTV,,,,24.64375,46.5916,,الرياض,Riyadh,1,طريق جدة,Jeddah Rd,E,طريق جدة,Jeddah Rd,,,,,,,84333.0,2024-12-08 14:06:33,4.0
90,60029,RUHTE334,CL01,R1,CCTV,,,,24.631166666666665,46.8758,,الرياض,Riyadh,1,الطريق الدائري الثاني,Second Ring Rd,N,الطريق الدائري الثاني,Second Ring Rd,,,,,,,84334.0,2025-01-27 11:20:48,4.0
91,62935,RUHSM021,CL01,R1,CCTV,,,,24.947866666666663,47.4831,,الرياض,Riyadh,1,طريق الخرج الجديد باتجاه الشمال 2,New Kharj Road North,N,طريق الخرج الجديد باتجاه الشمال 2,New Kharj Road North,,,,,,,80021.0,2025-01-27 11:20:42,3.0
92,62936,RUHSM023,CL01,R1,CCTV,,,,24.78053333333333,46.72853333333333,,الرياض,Riyadh,1,الدائري الشرقي بعد مخرج 9,Eastern Ring Road,N,الدائري الشرقي بعد مخرج 9,Eastern Ring Road,,,,,,,80023.0,2025-01-27 11:20:42,5.0
93,62937,RUHSM029,CL01,R1,CCTV,,,,24.969383333333333,46.78215,,الرياض,Riyadh,1,طريق الثمامه باتجاه الشمال,Thumammah Road North ,N,طريق الثمامه باتجاه الشمال ,Thumammah Road North ,,,,,,,80029.0,2024-12-08 14:06:27,3.0
94,62940,RUHSM042,CL01,R1,CCTV,,,,24.740716666666668,46.59871666666667,,الرياض,Riyadh,1,طريق الدائري الشمالي قبل مخرج صلبوخ,Northern Ring Road,W,,,,,,,,,80042.0,2025-01-27 11:20:45,5.0
95,62941,RUHSM046,CL01,R1,CCTV,,,,24.58563333333333,46.69525,,الرياض,Riyadh,1,طريق الدائري جنوبي,South Ring Road,E,,,,,,,,,80046.0,2025-01-27 11:20:47,5.0
96,62944,RUHSM070,CL01,R1,CCTV,,,,24.69435,46.56345,,الرياض,Riyadh,1,طريق الدائري الغربي,Western Ring Rd,S,طريق الدائري الغربي,Western Ring Rd,,,,,,,80070.0,2024-12-08 14:06:27,5.0
97,62945,RUHSM071,CL01,R1,CCTV,,,,24.6713,46.62246666666667,,الرياض,Riyadh,1,شارع عبدالله السهمي (السفارات),Abdullah AlSahmi St(Al Safarat),N,شارع عبدالله السهمي (السفارات),Abdullah AlSahmi St(Al Safarat),,,,,,,80071.0,2025-01-27 11:20:46,3.0
