trip_id,lat,lon,pickup_time,dropoff_time,distance_km,duration_sec,cost,car_model,car_cat,gender,gps_points,max_speed,avg_speed
1195741,,,2016-01-31 05:41:44,2016-01-31 05:58:45,15.72,0,,Santafe,,male,222,1710.6,36.5
1195740,,,2016-01-31 05:26:41,2016-01-31 05:36:23,10.97,0,,santafe,,female,136,148.9,66.1
1195739,,,2016-01-31 05:17:26,2016-01-31 05:30:53,5.59,0,,Innova,,female,181,97.6,25.0
1195729,,,2016-01-31 05:05:45,2016-01-31 05:13:42,4.16,0,,Tausan,,female,115,95.8,31.7
1195728,,,2016-01-31 05:02:02,2016-01-31 05:28:03,13.24,0,,Prado,,N/A,311,95.0,30.6
1195725,,,2016-01-31 04:39:02,2016-01-31 05:00:24,9.98,0,,Fortuner,,female,255,115.5,28.2
1195720,,,2016-01-31 04:47:08,2016-01-31 05:00:04,4.38,0,,Camry,,female,154,70.9,20.3
1195719,,,2016-01-31 04:32:41,2016-01-31 04:45:35,9.5,0,,Innova,,N/A,173,105.3,44.3
1195718,,,2016-01-31 04:31:10,2016-01-31 04:55:39,20.38,0,,Innova,,female,293,147.7,49.6
1195716,,,2016-01-31 04:31:35,2016-01-31 04:57:55,14.12,0,,Fortuner,,female,295,92.4,31.7
1195710,,,2016-01-31 04:01:24,2016-01-31 04:54:27,16.97,0,,Lexus,,female,655,107.4,19.2
1195707,,,2016-01-31 03:50:17,2016-01-31 04:22:45,26.19,0,,Taurus,,female,369,147.4,44.9
1195701,,,2016-01-31 03:19:13,2016-01-31 03:41:24,13.68,0,,Innova,,female,285,155.0,33.7
1195692,,,2016-01-31 02:41:15,2016-01-31 02:44:21,0.33,0,,SONATA,,female,16,17.1,7.0
1195683,,,2016-01-31 01:19:28,2016-01-31 01:34:41,12.45,0,,Lexus,,N/A,180,151.6,49.2
1195684,,,2016-01-31 01:27:37,2016-01-31 01:46:37,14.69,0,,Taures,,female,227,130.5,45.9
1195663,,,2016-01-30 22:26:46,2016-01-30 22:50:44,19.13,0,,Taures,,N/A,267,135.8,44.5
1195660,,,2016-01-30 22:38:17,2016-01-30 23:54:19,66.12,0,,prado,,N/A,913,417.3,42.2
1195658,,,2016-01-30 21:53:41,2016-01-30 22:20:44,20.23,0,,Camry,,female,304,160.0,42.2
1195655,,,2016-01-30 21:17:18,2016-01-30 21:26:12,7.41,0,,Taures,,N/A,106,144.5,46.5
1195653,,,2016-01-30 21:56:50,2016-01-30 22:15:50,29.79,0,,CAMARE,,female,215,116.4,65.1
