object_id,parcel_id,parcel_name,mainlanduse_code,mainlanduse_name,subtype_code,subtype_name,detailslanduse,is_apartment,parcel_type,residential_units,commercial_units,floors,area_sqm,district_id,street_name,postal_code,is_built,is_licensed,building_status,latitude,longitude
32449333,14459292,,100000,سكني (Residential),101000,سكني فردي (Single Residential/Villa),101011,False,غير شقق (Non-Apartment),0,0,,366.09713797,00100001125,,,,,,24.78835697180001,46.67542511380001
32449334,14396800,سوق و حديقة,300000,خدمات عامة (Public Services),306000,حديقة عامة (Public Park),306011,False,غير شقق (Non-Apartment),0,0,,720.08116531,00100001042,,,,,,24.770529958399994,46.686622372600006
32449335,14396919,,100000,سكني (Residential),101000,سكني فردي (Single Residential/Villa),101011,False,غير شقق (Non-Apartment),2,0,2,299.94369157,00100001032,,,,,,24.744507274800004,46.66650235999998
32449336,14396923,,100000,سكني (Residential),101000,سكني فردي (Single Residential/Villa),101011,False,غير شقق (Non-Apartment),2,0,2,600.03158683,00100001032,,,,,,24.744559769399995,46.6662143992
32449337,14396968,,100000,سكني (Residential),101000,سكني فردي (Single Residential/Villa),101011,False,غير شقق (Non-Apartment),,,,363.68172603,00100001033,,,,,,24.80374769999999,46.66556921916666
32449338,14419441,,100000,سكني (Residential),101000,سكني فردي (Single Residential/Villa),101011,False,غير شقق (Non-Apartment),0,0,,312.05680219,00100001148,,,,,,24.817592025166665,46.64636104833335
32449339,14448985,سكن إمام,300000,خدمات عامة (Public Services),303000,ديني (Religious),303010,False,غير شقق (Non-Apartment),,,,391.83749803,00100001042,,,,,,24.764462908999995,46.673057098200005
32449340,14417622,,100000,سكني (Residential),101000,سكني فردي (Single Residential/Villa),101011,False,غير شقق (Non-Apartment),,,,316.27476035,00100001054,,,,,,24.782545526799993,46.7072861442
32449341,14419245,,100000,سكني (Residential),101000,سكني فردي (Single Residential/Villa),101011,True,شقق (Apartment),4,0,2,304.16164973,00100001097,,,,,,24.78938105416667,46.69528547766669
32449342,14419256,,100000,سكني (Residential),101000,سكني فردي (Single Residential/Villa),101011,False,غير شقق (Non-Apartment),2,0,2,546.02730198,00100001097,,,,,,24.790060489000005,46.6952264806
32449343,14417708,,100000,سكني (Residential),101000,سكني فردي (Single Residential/Villa),101011,False,غير شقق (Non-Apartment),,,,312.9580753,00100001148,,,,,,24.826579988799995,46.638659666799995
32449344,14417728,,1000000,سكني متعدد الوحدات (Multi-Unit Residential/Apartments),1001000,عمارة سكنية (Apartment Building),1001001,True,شقق (Apartment),16,0,4,810.02822186,00100001148,,,,,,24.8255339648,46.63688359159998
