name,lat,lon,address,category,types,rating
صيانة حدائق,24.4519982,46.98194830000001,"4991، 8115, Riyadh",Other Stores,"florist,store,point_of_interest,establishment",
أسواق نوف المركزية,24.4537981,46.98761830000001,"Al Kharj Road, FX3Q+G29, Riyadh",Restaurants,"grocery_or_supermarket,store,food,point_of_interest,establishment",2.7
أسواق كوم,24.45385499999999,46.98760709999999,"FX3Q+G2X, Riyadh",Restaurants,"grocery_or_supermarket,store,food,point_of_interest,establishment",
صفو ماركت safw MARKET,24.4480428,46.993747,"Al Kharj Road, CXXV+6FG, Riyadh",Restaurants,"grocery_or_supermarket,store,food,point_of_interest,establishment",
تموينات الربيع,24.4490221,46.9948132,"CXXV+JX4،, CXXV+JW4, Riyadh",Restaurants,"supermarket,grocery_or_supermarket,store,point_of_interest,food,establishment",4.3
تموينات أفران الخبز,24.4489498,46.9949022,"CXXV+JX4, Riyadh",Restaurants,"supermarket,grocery_or_supermarket,store,point_of_interest,food,establishment",5
Remarket,24.4601051,46.98029099999999,"Al Kharj Road, Riyadh",Restaurants,"supermarket,grocery_or_supermarket,store,point_of_interest,food,establishment",3.4
تموينات ركن هيت للمواد الغذائيه,24.4439224,47.0002793,"C2V2+H35, Riyadh",Restaurants,"supermarket,grocery_or_supermarket,store,point_of_interest,food,establishment",4.7
كماليات.المسافر,24.459976,46.97995309999999,4797 طريق الخرج، الرياض 14561,Shopping Malls,"shopping_mall,point_of_interest,establishment",3
مصنع العتيبي للبلك مخرج 10 طويق الخرج,24.4258193,46.9968037,"Unnamed Road, هيت الجنوبية، الرياض 14571،",Shopping Malls,"shopping_mall,point_of_interest,establishment",3.9
BIG TREE,24.4825085,46.9719145,"3004 أحمد الدمياطي, RNHA8012، 8012, Riyadh",Restaurants,"restaurant,food,point_of_interest,establishment",5
طعمية السلطان,24.47009,46.9697258,المصفاة، 5801 الخرج الجديد، 7973، الرياض 14548،,Restaurants,"restaurant,food,point_of_interest,establishment",4
Karam al youm hotel,24.4699276,46.9697377,"7913 الخرج الجديد, 5861, الرياض",Restaurants,"restaurant,food,point_of_interest,establishment",
بوفية افضل وجبة,24.4701618,46.9691568,"Al Kharj Road, Riyadh",Restaurants,"restaurant,food,point_of_interest,establishment",2.9
مطعم ركاز الديرة فرع صناعية الفوزان مخرج ١١,24.4699081,46.96939649999999,"8006 Al Kharj Road, 5767, Riyadh",Restaurants,"restaurant,food,point_of_interest,establishment",4
مطاعم كرم اليوم البخاري,24.4696875,46.96956249999999,"محطه كويك باور, Al Kharj Road, هيت, Riyadh",Restaurants,"restaurant,food,point_of_interest,establishment",4.8
Riyadh Hotel,24.4766886,46.97493910000001,"Al Kharj Road, FXGF+MXG, Riyadh",Restaurants,"cafe,store,food,point_of_interest,establishment",5
9oz cafe,24.4705038,46.9696155,"FXC9+6R5, Riyadh",Restaurants,"cafe,store,food,point_of_interest,establishment",4.5
MEZAJ,24.4702514,46.9698991,"محطة كويك باور, Al Kharj Road, Riyadh",Restaurants,"cafe,store,food,point_of_interest,establishment",3.4
ديوانية وشاي الشيوخ,24.4701808,46.969137,"Al Kharj Road, FXC9+3MC, Riyadh",Restaurants,"cafe,store,food,point_of_interest,establishment",3.9
مستودع شركة الانصاري للسيراميك,24.4847948,46.9894829,"8425 أبي عمرو الطائي, RNHA4754، 4754, Riyadh",Other Stores,"store,point_of_interest,establishment",
نسائم الشروق للمزادات,24.482452,46.982037,"8174 الإمام أبي داوود, RNHA4064، 4064, Riyadh",Other Stores,"car_dealer,store,point_of_interest,establishment",5
General Store,24.48399689999999,46.9799018,"FXMH+JX2, Riyadh",Restaurants,"store,food,point_of_interest,establishment",4
Mini Store,24.4840156,46.97988040000001,"FXMH+JX2, Riyadh",Restaurants,"store,food,point_of_interest,establishment",5
Rabwah Abu Ameen,24.4869356,46.9964694,"FXPW+QHH, Riyadh",Restaurants,"store,food,point_of_interest,establishment",
ورشة الخطوط الثابتة,24.47955480000001,46.97356200000001,"FXHF+RCF, Riyadh",Other Stores,"home_goods_store,store,point_of_interest,establishment",4.2
Fresh Air Nursery,24.4728434,46.9857304,"Fresh air nursery near dr Mazra, Heit cave road, Riyadh",Other Stores,"general_contractor,store,point_of_interest,establishment",5
Tania company,24.4766538,46.9749648,"RNHA7454، 7454 أحمد الدمياطي، 3260, الرياض",Restaurants,"grocery_or_supermarket,store,food,point_of_interest,establishment",1
FUJI SAUDI ARABIA WAREHOUSE,24.4759631,46.97428550000001,"FXGF+9PM, Riyadh",Other Stores,"home_goods_store,store,point_of_interest,establishment",3.9
PTL,24.4879471,46.9640355,"3318 أحمد الدمياطي, RNHA7040، 7040, الرياض",Other Stores,"car_repair,store,point_of_interest,establishment",
Exit 11,24.4779485,46.9654973,"7613 الخرج القديم, 2375, الرياض",Other Stores,"store,point_of_interest,establishment",4.2
Alsaeed store 🏬,24.4824859,46.96188670000001,"Al Kharj Road, FXJ6+XQR, Riyadh",Other Stores,"store,point_of_interest,establishment",
اسواق العمري,24.4700723,46.9696896,"7913 Al Kharj Road, RMFA5861، 5861, Riyadh",Restaurants,"grocery_or_supermarket,store,food,point_of_interest,establishment",3.8
مصنع السلام للصناعة,24.4737464,46.9634951,"شارع الخفيج, Riyadh",Other Stores,"store,point_of_interest,establishment",4
مصنع بيت الاخشاب - Timber House Factory,24.4722899,46.9629324,"8182 شارع الضفرة, 5190, Riyadh",Other Stores,"furniture_store,home_goods_store,store,point_of_interest,establishment",4.9
Bakala,24.4807772,46.9584357,"FXJ5+897, Riyadh",Restaurants,"grocery_or_supermarket,store,food,point_of_interest,establishment",4
برستد مؤسسة المسار,24.408771,46.8392917,"3404 يحىى بن مسعود, حي, RMHA8783, 8783, Riyadh",Restaurants,"restaurant,food,point_of_interest,establishment",3.2
بوفية شمس الطيبات,24.405268,46.83961240000001,8409 يحيى بن مسعود، الحائر، الرياض 14581 3462،,Restaurants,"restaurant,food,point_of_interest,establishment",4.1
رفيف الريف,24.4081915,46.8390441,"CR5Q+6J6, Riyadh",Restaurants,"restaurant,food,point_of_interest,establishment",4
لقيمات هنية,24.4080385,46.8390267,"CR5Q+6J6, Riyadh",Restaurants,"restaurant,food,point_of_interest,establishment",4.2
تسـالـي الشـباب,24.405325,46.8394261,"CR4Q+4QM, Riyadh",Restaurants,"restaurant,food,point_of_interest,establishment",3.4
Restaurant,24.4046321,46.839529,"CR3Q+VR2, Riyadh",Restaurants,"restaurant,food,point_of_interest,establishment",
SPICE SANDS KERALA RESTAURANT,24.4053571,46.8392778,"CR4Q+4PR, Riyadh",Restaurants,"restaurant,food,point_of_interest,establishment",4.8
Restaurant Lake park,24.4048391,46.8393826,"RMHB8352، 8352 يحىى بن مسعود، 3412, الرياض",Restaurants,"restaurant,food,point_of_interest,establishment",4.7
HM CHICKEN,24.3995867,46.8404879,"يحيى بن مسعود, Riyadh",Restaurants,"restaurant,food,point_of_interest,establishment",5
