district_en,district_ar,villas,apartments_landuse,apartments_listed,total_residential,villa_percentage,apartment_percentage
Siyah Dist.,حي صياح,142,7,5,149,95.3,4.7
Salam Park,منتزه سلام,71,18,0,89,79.78,20.22
Al Marqab Dist.,حي المرقب,60,10,25,70,85.71,14.29
Al Wisham Dist.,حي الوشام,52,12,28,64,81.25,18.75
Umm Al Shaal Dist.,حي ام الشعال,0,54,1,54,0.0,100.0
Jabrah Dist.,حي جبرة,7,38,11,45,15.56,84.44
Meakal Dist.,حي معكال,30,5,1,35,85.71,14.29
Wady Laban Dist.,حي وادي لبن,25,0,0,25,100.0,0.0
Mansuriyah Dist.,حي المنصورية,15,0,6,15,100.0,0.0
Al Dubiyah Dist.,حي الدوبية,9,6,5,15,60.0,40.0
Al Difaa Dist.,حي الدفاع,0,13,12,13,0.0,100.0
King Saud University,جامعة الملك سعود,0,13,38,13,0.0,100.0
Al Butaiha Dist.,حي البطيحا,9,2,10,11,81.82,18.18
Al Wusayta Dist.,حي الوسيطاء,2,1,2,3,66.67,33.33
Imam Muhammed Bin Saud Islamic University,جامعة الامام محمد بن سعود الاسلامية,0,3,24,3,0.0,100.0
Khashm Al An,خشم العان,0,1,23,1,0.0,100.0
Al Rimayah Dist.,حي الرماية,0,0,48,0,0,0
Assafarat Dist.,حي السفارات,0,0,19,0,0,0
Al Qura Dist.,حي القرى,0,0,0,0,0,0
King Khalid International Airport,مطار الملك خالد,0,0,0,0,0,0
Al Ammajiyah Dist.,حي العماجية,0,0,8,0,0,0
Al Rabiyah Dist.,حي الرابية,0,0,2,0,0,0
Al Sidrah Dist.,حي السدرة,0,0,0,0,0,0
King Abdullah City For Energy,مدينة الملك عبدالله للطاقة,0,0,0,0,0,0
Al Basatin Dist.,حي البساتين,0,0,0,0,0,0
Al Rehab Dist.,حي الرحاب,0,0,0,0,0,0
Al Danah Dist.,حي الدانة,0,0,0,0,0,0
