place_id,name,lat,lng,types
ChIJV8zQBQAFLz4R--g5EZdgSl0,الرياض سكن الحرس الملكي,24.6507906,46.6955517,"point_of_interest,establishment"
ChIJD_AmdQAFLz4R1fHgP4u8g4c,مجمع الشيخ ابراهيم بن سعد الموسى,24.6645905,46.6955566,"point_of_interest,establishment"
ChIJofyajb8ELz4RpC9YLvo-9h0,Mufti House,24.6542785,46.6885678,"lodging,point_of_interest,establishment"
ChIJM0qG9ZIELz4R7EoUKE5hA0I,الجمعية العربية السعودية لبيوت الشباب,24.6595751,46.6983432,"lodging,point_of_interest,establishment"
ChIJGxEke7QFLz4Rm4TV7A8QxcI,بيت الأمير فيصل بن فهد للشباب,24.6597853,46.6985573,"lodging,point_of_interest,establishment"
ChIJLWMakNcFLz4Rqn6weYSMVOs,ابو مبارك النزهان,24.662037,46.6939247,"lodging,point_of_interest,establishment"
ChIJs38Y3d8FLz4RmrGl9apSoO8,Square Towers,24.6565651,46.7005324,"lodging,point_of_interest,establishment"
ChIJffdtQgAFLz4RN_CTeKIvr5Y,جمبة كشنقو الوشم,24.6526466,46.6988995,"lodging,point_of_interest,establishment"
ChIJ6eReMXIFLz4RJFI5v7wuDIs,اتجاهات الريادة للفنادق والعقارات,24.6603624,46.6996324,"lodging,point_of_interest,establishment"
ChIJrYnFCREFLz4RMZDQWCwgRi4,شركة مية للعقارات,24.6599191,46.7004885,"lodging,point_of_interest,establishment"
ChIJvdLrLAAFLz4Rd10qVV_ATgo,Watania gypsuy,24.654744,46.70128229999999,"campground,park,lodging,point_of_interest,establishment"
ChIJm63RPgAFLz4R5TCnnFY72-s,ABOOD,24.6470409,46.6952022,"lodging,point_of_interest,establishment"
ChIJg0vBeAAFLz4RSG8bVb0tjkM,Anwar Hussain,24.6232592,46.6949486,"point_of_interest,establishment"
ChIJcw_fewAFLz4R0mt6zEeNAn4,BR Accomodation,24.6203885,46.6949955,"point_of_interest,establishment"
ChIJlfo_RAAFLz4RSkskj5BBoWU,Gannas Accommodation,24.6245436,46.6933552,"point_of_interest,establishment"
ChIJH8rMM_4FLz4Rytu5j_7ddog,Wadi-side building,24.6121238,46.6950389,"point_of_interest,establishment"
ChIJpyjZPQAFLz4RV33_wm92oaM,Rental,24.6203074,46.6929783,"point_of_interest,establishment"
ChIJ9ZZ9MAAFLz4RF9X4ZEdEBYA,Aqeel’s house,24.6207113,46.6937509,"point_of_interest,establishment"
ChIJ-RPaRAAFLz4RqQOflxxiAuU,JILANI.WARRAICH,24.6245839,46.6941715,"point_of_interest,establishment"
ChIJTTajNgAFLz4R4QuH1CVKVwU,building 2,24.6122867,46.6967372,"point_of_interest,establishment"
ChIJ6ztqHQAFLz4RTiOhghHs8Vs,Jothishkumar Home Shumaisy,24.623968,46.691725,"point_of_interest,establishment"
ChIJ8cJEQQAFLz4RvQISOJLvZGk,Wk & Kumar accomodations,24.619785,46.6954511,"point_of_interest,establishment"
ChIJqaQkYQAFLz4R5Hb8srPvA-w,Al Riyadh,24.6235459,46.6932588,"point_of_interest,establishment"
ChIJWSCySAAFLz4RPoi-hADc37A,CONEXUS Villa,24.6180842,46.698674,"point_of_interest,establishment"
ChIJZ1V9GQAFLz4ROh-rTfea7U8,الجرادية,24.6204271,46.6944713,"point_of_interest,establishment"
ChIJ88mTYJYFLz4R_22SuRhdy2s,Rayyan place,24.6242674,46.6947676,"point_of_interest,establishment"
ChIJhdKHbwAFLz4RikWExyrdPUo,New home,24.6167642,46.7016944,"point_of_interest,establishment"
ChIJ5Xr7IAAFLz4RH4LUlcWHZ7E,Jaradiya,24.6185177,46.6966777,"point_of_interest,establishment"
ChIJxYg9oGQFLz4Ry-6VoasPVTI,Mukhtar House,24.62327,46.6918754,"point_of_interest,establishment"
ChIJMS0eYwAFLz4R1n9xXtsHsVY,Naeem Apartment,24.6153862,46.6946784,"point_of_interest,establishment"
ChIJQ0GrEwAFLz4R6pFuWfW4y8M,محمد وائل الهضبه,24.6248157,46.6939878,"point_of_interest,establishment"
ChIJ7Th2NgAFLz4R3svHf-ht7Ac,ARAB STREET,24.6250578,46.6942905,"point_of_interest,establishment"
ChIJFTPmMwAFLz4RkjhJMOu3za4,FLOW RIYADH METRO AL-JARRADIYAH ACCOMODATION,24.6185773,46.6970609,"point_of_interest,establishment"
ChIJxwSbEgAFLz4RXwuXnOHtGh0,NOUR M. HABIB,24.6205568,46.6952089,"point_of_interest,establishment"
ChIJtQeVgJ0FLz4R4gU6J8OLRIo,yangz,24.6215108,46.693194,"point_of_interest,establishment"
ChIJUZi_cMUFLz4RfrjgNG8hcwI,CHICOSAI HOME,24.6204618,46.6941468,"point_of_interest,establishment"
ChIJtUNQBwAFLz4RBGH5zLpFwGg,Saudi Arabia,24.616408,46.6951925,"point_of_interest,establishment"
ChIJAaBsbgAFLz4RmlcsgfkD1Zs,الجرادية,24.6164685,46.6947943,"point_of_interest,establishment"
ChIJcZGoalcFLz4Rqe_y9t_MnXM,Riyadh House SR,24.6139455,46.6994747,"point_of_interest,establishment"
ChIJ8b9rcAAFLz4RFu0cMMLQdrI,شقة بدر,24.6166377,46.7014407,"point_of_interest,establishment"
ChIJIQFyRAAFLz4RgT31aYuIvYU,Al Madina almanawara road,24.6174507,46.6934469,"point_of_interest,establishment"
ChIJ48aKSAAFLz4RKoybNPQsAcI,Mamun Rashid Palace,24.6191884,46.6975963,"point_of_interest,establishment"
ChIJdXrTEwAFLz4R24srNpu-J20,Dibaj staff room,24.6232778,46.6950014,"point_of_interest,establishment"
ChIJ-axtPQAFLz4RO5GLOZKi4iM,Ghar,24.6215419,46.6943089,"point_of_interest,establishment"
ChIJlx6C2xIFLz4RB_5hlE58228,al bawani housing,24.6197506,46.6975246,"point_of_interest,establishment"
ChIJr5x9HQAFLz4R8iVbdxIuxs0,RIYADH,24.6175277,46.6952742,"point_of_interest,establishment"
ChIJJxw0OQAFLz4RPU_jLSUD8h0,Al jarabiyah,24.6136715,46.6965073,"point_of_interest,establishment"
ChIJl7TeTQAFLz4RD49rk0FmM54,sabby jaradiyah,24.614163,46.6957459,"point_of_interest,establishment"
ChIJiyXnfwAFLz4Rwu0zVnB3Ck4,Gul zaman dera,24.617527,46.7008917,"point_of_interest,establishment"
ChIJ9bsBAQAFLz4RUr-DPRIaLEA,Avittathur,24.6171389,46.7015313,"point_of_interest,establishment"
ChIJw_2VAgAFLz4RcFR-WQT1ztc,حارثي,24.61638619999999,46.6975835,"lodging,point_of_interest,establishment"
ChIJSU8MKwAFLz4RgNfwFinCnJs,الامان,24.6161341,46.6977897,"lodging,point_of_interest,establishment"
ChIJM7L8SgAFLz4RHZ6ImdW5j-8,العطاردة,24.6158816,46.6955353,"lodging,point_of_interest,establishment"
ChIJx5ivMwAFLz4Rct0E6Qr2A8E,الجرادية,24.6161323,46.69514390000001,"lodging,point_of_interest,establishment"
ChIJ6UlONAAFLz4RUJPcKPTYXug,Habib's room Riyadh,24.6166519,46.70061049999999,"lodging,point_of_interest,establishment"
ChIJxVkSHwAFLz4RpvTmhWRQjmQ,Rizwan,24.6161594,46.7009255,"lodging,point_of_interest,establishment"
ChIJcyotBwAFLz4RLoqtcDTfjBc,ظهرة البديعه,24.6201035,46.6968901,"lodging,point_of_interest,establishment"
ChIJ5amnWgAFLz4R6Wvz3IlXLhE,Tabuk,24.615189,46.701919,"lodging,point_of_interest,establishment"
ChIJyz09WIkNLz4RYMA41Rr4Ets,بيت يحيى الكعبي,24.620717,46.69484050000001,"lodging,point_of_interest,establishment"
ChIJc_bqJgAFLz4RcsadBTcsGUM,بيت الّ شديد,24.6120523,46.6963431,"lodging,point_of_interest,establishment"
ChIJP_qRn_QFLz4RMwGZE1iwNM4,Hostel,24.6218163,46.6946602,"lodging,point_of_interest,establishment"
