latitude,longitude,type,name,district
24.692878,46.6771083,Residential - Other,Unnamed,
24.6929881,46.6772823,Residential - Other,Unnamed,
24.6930516,46.6774549,Residential - Other,Unnamed,
24.6931174,46.6776495,Residential - Other,Unnamed,
24.6931928,46.6778306,Residential - Other,Unnamed,
24.6932781,46.6780119,Residential - Other,Unnamed,
24.6933795,46.6782032,Residential - Other,Unnamed,
24.68768,46.6745334,Residential - Other,اجنحة المهيدب ريزدنت,
24.6882301,46.674398,Residential - Other,Unnamed,
24.7055787,46.6816338,Residential - Other,Unnamed,
24.6920201,46.6541446,Residential - Other,Unnamed,
24.6853217,46.6784043,Residential - Other,Unnamed,
24.6853998,46.6785923,Residential - Other,Unnamed,
24.6857386,46.6793507,Residential - Other,Unnamed,
24.6852454,46.6804327,Residential - Other,Unnamed,
24.8315191,46.6284212,Residential - Other,Unnamed,
24.8314187,46.6281855,Residential - Other,Unnamed,
24.8312596,46.6282352,Residential - Other,Unnamed,
24.8313827,46.6285313,Residential - Other,Unnamed,
24.8312172,46.6285676,Residential - Other,Unnamed,
24.8310648,46.6286391,Residential - Other,Unnamed,
24.8309277,46.6287394,Residential - Other,Unnamed,
24.8307614,46.6287824,Residential - Other,Unnamed,
24.8306601,46.6285452,Residential - Other,Unnamed,
24.8308027,46.6284421,Residential - Other,Unnamed,
24.8309621,46.6283975,Residential - Other,Unnamed,
24.8311171,46.628332,Residential - Other,Unnamed,
24.6829825,46.6770534,Residential - Other,شقق درر رامه للشقق,
24.6844363,46.6832888,Residential - Other,Unnamed,
24.6817163,46.6824972,Residential - Other,Unnamed,
24.8139273,46.6554885,Residential - Other,Unnamed,
24.8137141,46.6556008,Residential - Other,Unnamed,
24.8134654,46.6557235,Residential - Other,Unnamed,
24.8132889,46.6554187,Residential - Other,Unnamed,
24.8137451,46.6552047,Residential - Other,Unnamed,
24.8141753,46.6550058,Residential - Other,Unnamed,
24.8141191,46.6546522,Residential - Other,Unnamed,
24.8139646,46.6543514,Residential - Other,Unnamed,
24.8138647,46.6541272,Residential - Other,Unnamed,
24.8142789,46.6549349,Residential - Other,Unnamed,
24.8138534,46.6551651,Residential - Other,Unnamed,
24.8135994,46.6552911,Residential - Other,Unnamed,
24.8137837,46.6538697,Residential - Other,Unnamed,
24.8136155,46.6534563,Residential - Other,Unnamed,
24.8135907,46.653326,Residential - Other,Unnamed,
