lat,lon,parcel_type,parcel_id,landuseagroup,area_sqm
24.731864278,46.64429605,villa,1404708,سكني,961.0435123314068
24.728875043,46.643330455,villa,1402346,سكني,603.0612571315103
24.727959012,46.644888818,villa,1398676,سكني,952.5491617427681
24.730212533,46.646254063,villa,1398723,سكني,923.7891209113257
24.730629126,46.644269228,villa,1405724,سكني,966.1518590543478
24.729040707,46.644789577,villa,1399527,سكني,901.9759367635506
24.726570335,46.647989452,apartment,4023430,متعدد الاستخدام,876.8764788032325
24.733133524,46.642804742,villa,1405460,سكني,1244.9431553929496
24.734926525,46.644169986,villa,3355723,سكني,507.07154711057643
24.730134574,46.643982232,villa,1405716,سكني,911.7707984051218
24.729425632,46.64691925,villa,1392941,سكني,1023.0776256223372
24.730680286,46.6427055,villa,3439636,سكني,786.8326662332125
24.730434229,46.642576754,villa,3439637,سكني,784.8104311838332
24.730083414,46.643394828,villa,3439638,سكني,982.3805466873861
24.730331908,46.643518209,villa,3439639,سكني,984.2757205187637
24.730451282,46.643236578,villa,3439641,سكني,911.518068538704
24.730570657,46.642962992,villa,3439642,سكني,940.9632012571351
24.730185735,46.643158793,villa,3439643,سكني,608.9150941159841
24.729713108,46.644094884,apartment,1405700,متعدد الاستخدام,453.83115666661894
24.731016482,46.641031802,villa,1411372,سكني,422.5006144362699
24.730519496,46.647801697,villa,13991999,سكني,320.2363918721196
24.73042692,46.647734642,villa,13991991,سكني,179.36998631193262
24.73033678,46.647882164,villa,13991989,سكني,60.06953907286666
24.729893388,46.64814502,villa,13991997,سكني,287.520670247227
24.730334344,46.648139656,villa,13991971,سكني,523.4682448498287
24.729445122,46.647919714,villa,13991979,سكني,465.0815026305281
24.729681437,46.648037732,villa,13991983,سكني,308.9071348681188
24.730012763,46.648195982,villa,13991987,سكني,326.0135015076682
24.730017636,46.64529115,villa,1399525,سكني,897.3202808338928
24.731542701,46.645044386,apartment,1405705,متعدد الاستخدام,942.0563519232505
24.736266386,46.645811498,villa,1405439,سكني,996.0846327397145
24.733652425,46.64395541,villa,1405678,سكني,1012.4676397808596
24.732928886,46.647579074,villa,1402718,سكني,518.9293510820372
24.734868058,46.643577218,villa,1405323,سكني,956.1682095233512
24.734629317,46.643807888,villa,1404730,سكني,981.1151404082856
24.73494845,46.646350622,villa,1405455,سكني,1011.72679592726
24.728058898,46.645350158,villa,1411434,سكني,430.48189738970024
24.729942113,46.640937924,villa,1402361,سكني,882.885071717993
24.726918724,46.643703282,villa,1392919,سكني,913.3474574225612
24.730263694,46.645417213,villa,1392931,سكني,934.0208121703956
24.729632712,46.645663977,villa,1392940,سكني,747.716592717314
24.729296512,46.643880308,apartment,1405699,متعدد الاستخدام,885.2694143524924
24.726947959,46.647855341,apartment,4023438,متعدد الاستخدام,1037.6111804489522
24.729428069,46.646232605,villa,1392936,سكني,892.2640703132478
24.733815647,46.644971967,villa,1405356,سكني,992.8003970260922
24.728322014,46.644749343,villa,1398663,سكني,855.1355449117971
24.731218687,46.640836,villa,1405291,سكني,401.72014482418336
24.732431908,46.641544104,villa,1405326,سكني,647.7184242955678
24.730770426,46.641536057,villa,1405426,سكني,1643.6417918239426
24.737038627,46.647115052,villa,3999639,سكني,749.4660799750628
24.735211551,46.645859778,villa,3802915,سكني,444.4199784586199
24.735289507,46.645956337,villa,3802916,سكني,446.9221816067738
24.730348961,46.645932198,villa,13913129,سكني,510.54372279564444
24.729942113,46.642692089,villa,1405406,سكني,876.7615482872687
24.733652425,46.641313434,villa,3355779,سكني,864.8286602162781
24.733435607,46.64316684,villa,1405684,سكني,1202.384471696497
24.734522127,46.642048359,apartment,1405224,متعدد الاستخدام,4212.375383107855
24.732480631,46.647125781,villa,1404221,سكني,682.6586633251826
24.731645021,46.641957164,apartment,14252719,متعدد الاستخدام,410.9941376822272
24.733477022,46.642847657,villa,3355761,سكني,585.2036099882378
24.727756802,46.642187834,villa,13768596,سكني,1046.4090277678174
24.726869998,46.644169986,villa,1399487,سكني,871.9624187792754
24.729476793,46.643971503,apartment,1405696,متعدد الاستخدام,429.32909423415407
24.727525356,46.643684506,apartment,1398721,متعدد الاستخدام,895.5216197923982
24.736929003,46.644167304,apartment,1405207,متعدد الاستخدام,5022.3666893543295
24.731218687,46.647388637,villa,3421859,سكني,638.7925747409174
24.727286602,46.645044386,villa,1398689,سكني,906.1519989659386
24.733606138,46.646559834,villa,1405318,سكني,955.8632516425982
24.733842444,46.646329165,villa,1404725,سكني,987.4691622373003
24.733774232,46.646763682,villa,1405327,سكني,961.6154001388396
24.734453916,46.647587121,villa,1405336,سكني,969.7866126233309
24.735430802,46.645610332,villa,1405347,سكني,494.944685690899
24.735589149,46.644982696,villa,1405353,سكني,987.4118451962935
24.72982761,46.642962992,villa,1405402,سكني,864.3591898572873
24.735050767,46.64514631,villa,1405448,سكني,994.1901185902451
24.728117369,46.645216048,villa,1398664,سكني,430.2051403297505
24.727734875,46.646090448,villa,1398671,سكني,887.7120242697687
24.728073516,46.64462328,villa,1398675,سكني,941.6140472535217
24.727172097,46.645315289,villa,1398688,سكني,907.5108937010027
24.730802096,46.647965312,villa,1398704,سكني,637.8508135536706
24.73176683,46.645867825,apartment,1398731,متعدد الاستخدام,868.3714023565472
24.731654766,46.646133363,villa,1398732,سكني,884.0180149925267
24.727515611,46.644513309,villa,1398678,سكني,907.2421014210147
24.730953141,46.640634835,villa,1411371,سكني,407.6627741665232
24.736444221,46.648362279,villa,1405584,سكني,1737.601967203599
24.736376011,46.647359133,villa,1405423,سكني,1755.9079502290285
24.730451282,46.641133726,villa,1405465,سكني,1253.9278661764058
24.733279693,46.642608941,villa,1405468,سكني,1102.3252502709556
24.729398834,46.644644737,apartment,1399526,متعدد الاستخدام,900.1079306536211
24.732782716,46.647922397,villa,1402780,سكني,536.6394221034418
24.729644893,46.644770801,apartment,1399517,متعدد الاستخدام,871.8854622189846
24.731362423,46.645647883,apartment,1399520,متعدد الاستخدام,874.1661691007816
24.734349162,46.64694339,villa,1405014,سكني,1031.1091546522553
24.729532827,46.645041704,villa,1399522,سكني,884.2749914352869
24.732809514,46.647273302,villa,1403507,سكني,570.9170177003551
24.731876459,46.647911668,apartment,1404657,متعدد الاستخدام,756.8247429049588
24.732658472,46.646162868,villa,1404662,سكني,984.4613531672439
24.735993543,46.644955873,villa,1404713,سكني,973.6657490223824
24.735740188,46.643115878,apartment,1405208,متعدد الاستخدام,1947.8772873666553
24.728553458,46.64349407,apartment,1405226,متعدد الاستخدام,947.6419014442116
24.732064045,46.647469103,apartment,1404654,متعدد الاستخدام,711.0615019099243
24.734112856,46.64717406,villa,1404733,سكني,987.8617861206036
24.734814463,46.64537698,villa,1405331,سكني,950.9254950340156
24.730928779,46.640921831,villa,1405275,سكني,443.6182892264932
24.731045717,46.648086011,apartment,1398708,متعدد الاستخدام,905.3526464272172
24.732824131,46.644178033,villa,1405681,سكني,1067.8941205797414
24.734375959,46.646173596,villa,1404697,سكني,966.9788170645653
24.733011716,46.64738059,villa,1404202,سكني,672.2433576695793
24.73049757,46.6403988,villa,1405297,سكني,1278.8757732038603
24.727576518,46.648198664,apartment,1404605,متعدد الاستخدام,1081.8603168737761
24.727157479,46.644650102,villa,1398682,سكني,875.2220125266361
24.734714582,46.646583974,villa,1405447,سكني,1005.0272075643323
24.73469022,46.647356451,villa,1405369,سكني,1000.5878936133694
24.733952071,46.645653248,villa,1405475,سكني,1304.0060758080542
24.730736319,46.644019783,villa,1405725,سكني,971.8726352377678
24.735615946,46.64362818,villa,1411423,سكني,1184.1679569790285
24.730675414,46.641780138,villa,1411375,سكني,524.9725913704093
24.731028663,46.641836464,apartment,1405736,متعدد الاستخدام,1487.9109386030188
24.731272283,46.642761827,villa,1405730,سكني,1009.1138319843371
24.733070183,46.643681824,apartment,1405737,متعدد الاستخدام,1349.9135207363558
24.732025066,46.645993888,apartment,1398727,متعدد الاستخدام,975.2337742726771
24.734544052,46.646377444,villa,1404704,سكني,969.2401337356971
24.732882599,46.645535231,apartment,1405675,متعدد الاستخدام,1118.0436130529151
24.726867562,46.640878916,villa,13768530,سكني,1019.9081078686842
24.727883488,46.641898155,villa,13768566,سكني,897.3154885791557
24.729074814,46.640873551,villa,13768586,سكني,899.559587451085
24.732266248,46.641710401,villa,1405303,سكني,940.7796376994864
24.734276078,46.64337337,villa,1405689,سكني,1231.3290324196394
24.73062669,46.641898155,villa,1405458,سكني,542.2619860201967
24.729369599,46.643587947,villa,3355774,سكني,585.5169349277228
24.729686309,46.643751562,villa,1405394,سكني,598.2941184333165
24.733762051,46.642169058,villa,1405459,سكني,1197.6934336487739
24.735031278,46.646972895,villa,1405349,سكني,1247.8932810209435
24.733883859,46.642686725,apartment,1405690,متعدد الاستخدام,1238.4964820906496
24.730292928,46.646063626,villa,13909145,سكني,374.8391980407034
24.732600003,46.64468497,villa,1405676,سكني,989.4184463324946
24.731257666,46.644896865,apartment,1405704,متعدد الاستخدام,931.1610656848313
24.734176196,46.64459914,villa,1405338,سكني,984.4028186027642
24.731140729,46.640736759,villa,1411359,سكني,401.9520739610647
24.736402808,46.644513309,villa,1411360,سكني,1864.881433751232
24.735659796,46.646409631,villa,1404701,سكني,960.8055390683559
24.733581776,46.645205319,villa,1404727,سكني,983.8763408865718
24.732434344,46.648155749,villa,1402651,سكني,442.4095782848451
24.733905784,46.641069353,apartment,3355778,متعدد الاستخدام,1000.3049798032163
24.736585515,46.644735932,villa,1411361,سكني,1152.1803156272574
24.733944762,46.642391682,villa,1405787,سكني,307.33533341132863
24.730760681,46.645666659,villa,1392928,سكني,925.8968591522688
24.731362423,46.644652784,villa,1404703,سكني,960.8988063069334
24.726882179,46.640066206,villa,1402353,سكني,950.6652550668658
24.733537926,46.640881598,villa,1405205,سكني,4287.018116050921
24.727859125,46.641257107,villa,14081165,سكني,751.593796404489
24.727956575,46.641034484,villa,14081161,سكني,749.6974221114472
24.728034536,46.640854776,villa,14081163,سكني,450.38944331128266
24.735757241,46.645186543,villa,1405359,سكني,989.9960408678162
24.732390493,46.645175815,villa,1405679,سكني,1023.2686959008712
24.73316763,46.645513773,villa,1411431,سكني,512.9708922638808
24.733815647,46.641511917,villa,3355780,سكني,1001.6578078502966
24.730020072,46.644255817,apartment,1405698,متعدد الاستخدام,872.4927457045136
24.736334597,46.645374298,villa,1405340,سكني,983.8172443862071
24.730933652,46.647579074,villa,3421858,سكني,612.0723976105146
24.731269847,46.647745371,apartment,3421860,متعدد الاستخدام,613.1082237528991
24.727198896,46.639905274,villa,1411369,سكني,518.2243010375051
24.737072732,46.648080647,villa,1405591,سكني,1717.5540952394315
24.727047846,46.645540595,apartment,3355749,متعدد الاستخدام,838.3248292187872
