place_id,name,lat,lon,address,types,rating
ChIJieQCdp4JLz4RT956hfMn_hk,KFC,24.5702032,46.78817029999999,Azizi Road Dar Beda District,"restaurant,point_of_interest,food,establishment",3.6
ChIJp73ANXUJLz4RQdyLvWDPuEk,Derati Restaurants - Ad Dar Al Baida Branch,24.5736391,46.7853524,"Arafat Road, تقاطع طريق العزيزية مع, Riyadh","restaurant,point_of_interest,food,establishment",4
ChIJQXgrDq2gLz4RHS3hnXml8JI,Dirati Restaurants,24.569962,46.8333222,"Al Kharj Road, Riyadh","restaurant,point_of_interest,food,establishment",4.1
ChIJk4_LnQQJLz4RYwVsnJYYlLk,McDonald's,24.585652,46.778468,Riyadh,"restaurant,point_of_interest,food,establishment",3.8
ChIJ0Tuehl4LLz4Rfs4Xbpe_QFQ,معدات للايجار اليومي والشهري,24.4918218,46.792831,"Al Haeer Road, Riyadh","restaurant,point_of_interest,food,establishment",
ChIJcT_ECwB1Lz4RjV3IZuRhB_A,بوفية مائدة الحارة,24.48136899999999,46.8084534,"FRJ5+G9W, Riyadh","restaurant,point_of_interest,food,establishment",
ChIJOeGBNVJ1Lz4ROtFB78YZzAw,سيريه العميد,24.480443,46.8069083,Riyadh,"meal_takeaway,restaurant,point_of_interest,food,establishment",4.7
ChIJw1EeSQB1Lz4RyF6bGKDC9Yk,في شاورما,24.4798871,46.8050224,"FRH3+WX7, Riyadh","restaurant,point_of_interest,food,establishment",3.6
ChIJ8-fyWQB1Lz4RBTi2W53Kj7U,مشويات درويش,24.47979800000001,46.8049215,"ميدان, 39شارع الحريه بشتيل","restaurant,point_of_interest,food,establishment",
ChIJD7mVQgB1Lz4RxPikLnPgMy4,مطعم معني الجود,24.47979800000001,46.8049215,"FRH3+WX7, Riyadh","restaurant,point_of_interest,food,establishment",5
ChIJ3-keajZ1Lz4RUr5iZneJ0Jw,مطعم بخاري,24.4793473,46.80442679999999,"FRH3+PQM, Riyadh","restaurant,point_of_interest,food,establishment",3.9
ChIJWZ4dfAB1Lz4RKT-uGeHrPOA,مطعم كبده الجزيره,24.479307,46.804516,"FRH3+PRC, Riyadh","restaurant,point_of_interest,food,establishment",4.7
ChIJ62WwPX51Lz4Rt04eRSygQOg,مطعم رواد شبرا,24.4773812,46.8033162,"Al Haeer Road, Riyadh","restaurant,point_of_interest,food,establishment",5
ChIJ8d1AArwLLz4RrgbBORpOsng,مطبخ ابو رحاب للحنيذ الجنوبي,24.5206405,46.78508230000001,"3129، المنصورية، الرياض 14535 7209،, Riyadh","restaurant,point_of_interest,food,establishment",4.4
ChIJJ5XpDcd1Lz4RiJhp3485VNI,Ammani fast food,24.472415,46.80056829999999,"FRC2+X68, Riyadh","restaurant,point_of_interest,food,establishment",3
ChIJNfUqwsp1Lz4RPoUWCuq_jEg,مطاعم شواية المستقبل البخاري,24.4701355,46.80682789999999,"3520 Al Haeer Road, RMGA9100، 9100, Riyadh","restaurant,point_of_interest,food,establishment",4
ChIJ21bi9J2hLz4Rg8StrGnsLoU,KFC,24.5533968,46.8895143,"Snaiyaa 2 ) area, الرياض","restaurant,food,point_of_interest,establishment",3.8
ChIJ4f_jAHahLz4RjpBBdGvaokI,McDonald's,24.553404,46.88874999999999,"2nd industrial city services centre, Riyadh","restaurant,food,point_of_interest,establishment",3.8
ChIJE3vJzaGqLz4Rl66eLi4BPy0,Domino's Pizza,24.5539,46.888973,"Riyadh 2nd Industrial City, 8833, Riyadh","meal_delivery,meal_takeaway,restaurant,food,point_of_interest,establishment",3.7
ChIJA5aGxnahLz4RPXxX2lv3SP8,Subway,24.557829,46.889935,"Oasis Food Complex, Riyadh","restaurant,food,point_of_interest,establishment",3.9
ChIJXWajTgCZLz4R-ALtP1mArZ8,Ryan Al Madinan Pakistani Resturant,24.4973622,46.9047349,"السفانيه, FWW3+WVX, Riyadh","restaurant,food,point_of_interest,establishment",3.7
ChIJYTm3egCZLz4RHCN9CmZvUsU,pakistani hotel,24.5066381,46.9050123,"8006 الصحابة, RMFA2555، 2555, الرياض","restaurant,food,point_of_interest,establishment",5
